id,image_url,scientific_name,common_name
9096211,https://inaturalist-open-data.s3.amazonaws.com/photos/12286464/medium.jpg,Pieris rapae,Белянка репная
9096257,https://inaturalist-open-data.s3.amazonaws.com/photos/12286559/medium.jpg,Thymelicus sylvestris,Толстоголовка сельская
9096463,https://inaturalist-open-data.s3.amazonaws.com/photos/12286823/medium.jpg,Pieris napi,Белянка брюквенная
9096696,https://inaturalist-open-data.s3.amazonaws.com/photos/12287016/medium.jpg,Melitaea didyma,Шашечница красная
9096711,https://inaturalist-open-data.s3.amazonaws.com/photos/12287041/medium.jpg,Polyommatus icarus,Голубянка икар
9097658,https://inaturalist-open-data.s3.amazonaws.com/photos/12288647/medium.jpg,Kirinia roxelana,
9097688,https://inaturalist-open-data.s3.amazonaws.com/photos/12288701/medium.jpg,Celastrina argiolus,Голубянка крушинная
9097707,https://inaturalist-open-data.s3.amazonaws.com/photos/12288765/medium.jpg,Melitaea didyma,Шашечница красная
9097807,https://inaturalist-open-data.s3.amazonaws.com/photos/12288955/medium.jpg,Kirinia roxelana,
9098530,https://inaturalist-open-data.s3.amazonaws.com/photos/12290175/medium.jpg,Aricia agestis,Голубянка Агестис
9098540,https://inaturalist-open-data.s3.amazonaws.com/photos/12290200/medium.jpg,Eilema lurideola,Лишайница свинцово-серая
9098556,https://inaturalist-open-data.s3.amazonaws.com/photos/12290218/medium.jpg,Lasiommata megera,Буроглазка мегера
9305116,https://inaturalist-open-data.s3.amazonaws.com/photos/12618739/medium.jpeg,Hyphantria cunea,Американская белая бабочка
9320146,https://inaturalist-open-data.s3.amazonaws.com/photos/12638665/medium.jpeg,Hyphantria cunea,Американская белая бабочка
9430767,https://inaturalist-open-data.s3.amazonaws.com/photos/12818551/medium.jpg,Gonepteryx rhamni,Крушинница
9641959,https://inaturalist-open-data.s3.amazonaws.com/photos/13167966/medium.jpg,Apoda limacodes,Бабочка-мокрица
9726782,https://inaturalist-open-data.s3.amazonaws.com/photos/13306932/medium.jpeg,Apoda limacodes,Бабочка-мокрица
9917844,https://inaturalist-open-data.s3.amazonaws.com/photos/13605101/medium.jpg,Aricia agestis,Голубянка Агестис
10823393,https://static.inaturalist.org/photos/15163632/medium.jpg,Heterogenea asella,Бабочка-ослик
10823593,https://static.inaturalist.org/photos/15163632/medium.jpg,Heterogenea asella,Бабочка-ослик
11101800,https://static.inaturalist.org/photos/15684889/medium.jpg,Apoda limacodes,Бабочка-мокрица
